year,安徽,北京,福建,甘肃,广东,广西,贵州,海南,河北,河南,黑龙江,湖北,湖南,吉林,江苏,江西,辽宁,内蒙古,宁夏,青海,山东,山西,陕西,上海,四川,天津,西藏,新疆,云南,浙江,重庆
2015,54.6,6.8,18.93,30.38,75.4,31.0,33.05,6.2,40.48,77.2,19.8,36.84,38.99,13.76,39.29,35.46,22.51,18.4,6.7,4.2,69.61,34.22,34.4,5.1,57.0,6.1,2.1,16.05,27.21,31.79,25.54
2016,50.99,6.12,17.5,29.6,73.3,33.0,37.38,6.04,42.31,82.0,19.7,36.14,40.16,14.85,36.04,36.06,21.82,20.11,6.9,4.5,60.2,33.9,32.8,5.1,57.13,6.0,2.4,16.61,28.0,30.74,24.88
2017,49.9,6.0,18.8,28.5,75.7,36.5,41.2,5.7,43.6,86.3,18.8,36.2,41.1,14.3,33.0,36.5,20.8,19.8,6.9,4.6,58.3,31.7,31.9,5.0,58.3,5.7,2.8,18.4,29.3,29.1,24.7
2018,49.9,6.3,20.0,27.3,75.8,40.0,44.1,5.8,48.6,98.3,16.9,37.4,45.2,15.0,33.0,38.0,18.5,19.5,6.9,4.2,59.2,30.5,31.9,5.0,62.0,5.5,2.5,20.7,30.0,30.6,25.0
2019,51.3,5.9,20.78,21.8,76.8,46.0,45.8,5.9,55.96,100.0,20.6,38.4,50.0,16.3,33.9,42.1,24.4,19.9,7.17,5.68,55.99,31.4,32.6,5.0,65.0,5.5,2.758,22.09,32.6,31.5,26.4
2020,52.38,4.92,20.26,26.31,78.8,50.7,47.0,5.73,62.48,115.8,21.1,39.48,53.7,15.0,34.89,38.94,21.8252,19.79,6.03,4.662,53.03,32.57,32.2344,5.0,67.47,5.63,3.3,22.93,34.37,32.57,28.3
2021,54.25,5.1738,20.1,24.59,78.3,55.04,46.67,5.98,63.4,125.0,19.4,40.5,57.49,15.2412,35.9,49.3,19.1,18.4715,6.2,4.83,79.5,31.57,31.29,7.0,69.8,5.6,4.1,20.98,35.8,33.24,28.95
2022,60.1,5.47,21.8,24.32,70.2,61.0,47.8,3.39,75.32,125.0,18.29,46.0,65.5,12.5,40.6,57.48,24.53,18.5,6.92,4.84,86.7,33.7,32.3,5.0,77.0,5.8,3.21,21.85,38.83,36.0,31.4
2023,64.7,5.8,23.2,24.78,77.96,61.0,47.8,7.0,86.2,131.0,19.1,46.0,68.4,12.6,44.5,53.6,19.1,18.7,7.2,5.1,89.0,34.5,33.7,7.5,80.0,6.9,3.2,22.0,39.93,39.0,33.7
2024,67.0,6.8,24.7,26,76,48.0,50.6,7.3,88.0,136.0,21.1,52.0,70.0,13.2,48.0,65.0,20.3,23.0,8.2,5.9,100.0,35.4,35.0,5.8,83.0,7.4,3.9,23.0,40.6,40.5,35.0
2025,65.4,6.3,26,23.24,78.4,75,48,7.5,64,136,20.8,40,73.2,14.2,51.2,64.6,21,22,8,6.9,101,29.5,64.6,6.8,84,7.5,3.8,25,38.2,40.2,25
